Country,date,daily_cases,cumulative_cases,latitude,longitude,Continents,SubRegion,deaths,cumulative_deaths
135,Andorra,2022-06-15,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
136,Andorra,2022-06-16,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
137,Andorra,2022-06-17,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
138,Andorra,2022-06-18,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
139,Andorra,2022-06-19,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
140,Andorra,2022-06-20,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
141,Andorra,2022-06-21,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
142,Andorra,2022-06-22,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
143,Andorra,2022-06-23,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
144,Andorra,2022-06-24,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
145,Andorra,2022-06-25,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
146,Andorra,2022-06-26,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
147,Andorra,2022-06-27,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
148,Andorra,2022-06-28,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
149,Andorra,2022-06-29,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
150,Andorra,2022-06-30,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
151,Andorra,2022-07-01,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
152,Andorra,2022-07-02,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
153,Andorra,2022-07-03,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
154,Andorra,2022-07-04,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
155,Andorra,2022-07-05,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
156,Andorra,2022-07-06,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
157,Andorra,2022-07-07,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
158,Andorra,2022-07-08,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
159,Andorra,2022-07-09,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
160,Andorra,2022-07-10,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
161,Andorra,2022-07-11,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
