DateRep,CountryExp,CountryCode,Source,ConfCases
2022-05-11,Romania,RO,TESSy,0
2022-05-11,Slovenia,SI,TESSy,0
2022-05-11,Spain,ES,TESSy,6
2022-05-11,Sweden,SE,TESSy,0
2022-05-12,Austria,AT,EI,0
2022-05-12,Belgium,BE,TESSy,0
2022-05-12,Czechia,CZ,TESSy,0
2022-05-12,Denmark,DK,EI,0
2022-05-12,Finland,FI,EI,0
2022-05-12,France,FR,EI,0
2022-05-12,Germany,DE,EI,0
2022-05-12,Greece,EL,TESSy,0
2022-05-12,Hungary,HU,TESSy,0
2022-05-12,Iceland,IS,EI,0
2022-05-12,Ireland,IE,TESSy,0
2022-05-12,Italy,IT,TESSy,0
2022-05-12,Latvia,LV,TESSy,0
2022-05-12,Luxembourg,LU,EI,0
2022-05-12,Malta,MT,TESSy,0
2022-05-12,Netherlands,NL,EI,0
2022-05-12,Norway,NO,TESSy,0
2022-05-12,Poland,PL,TESSy,0
2022-05-12,Portugal,PT,EI,0
2022-05-12,Romania,RO,TESSy,0
2022-05-12,Slovenia,SI,TESSy,0
2022-05-12,Spain,ES,TESSy,9
2022-05-12,Sweden,SE,TESSy,0
2022-05-13,Austria,AT,EI,0
2022-05-13,Belgium,BE,TESSy,0
2022-05-13,Czechia,CZ,TESSy,0
2022-05-13,Denmark,DK,EI,0
2022-05-13,Finland,FI,EI,0
2022-05-13,France,FR,EI,0
2022-05-13,Germany,DE,EI,0
2022-05-13,Greece,EL,TESSy,0
2022-05-13,Hungary,HU,TESSy,0
2022-05-13,Iceland,IS,EI,0
2022-05-13,Ireland,IE,TESSy,0
2022-05-13,Italy,IT,TESSy,0
2022-05-13,Latvia,LV,TESSy,0
2022-05-13,Luxembourg,LU,EI,0
2022-05-13,Malta,MT,TESSy,0
2022-05-13,Netherlands,NL,EI,0
2022-05-13,Norway,NO,TESSy,0
2022-05-13,Poland,PL,TESSy,0
2022-05-13,Portugal,PT,EI,0
2022-05-13,Romania,RO,TESSy,0
2022-05-13,Slovenia,SI,TESSy,0
2022-05-13,Spain,ES,TESSy,7
2022-05-13,Sweden,SE,TESSy,0
2022-05-14,Austria,AT,EI,0
2022-05-14,Belgium,BE,TESSy,0
2022-05-14,Czechia,CZ,TESSy,0
2022-05-14,Denmark,DK,EI,0
2022-05-14,Finland,FI,EI,0
2022-05-14,France,FR,EI,0
2022-05-14,Germany,DE,EI,0
2022-05-14,Greece,EL,TESSy,0
2022-05-14,Hungary,HU,TESSy,0
2022-05-14,Iceland,IS,EI,0
2022-05-14,Ireland,IE,TESSy,0
2022-05-14,Italy,IT,TESSy,0
